month,quarter,region,channel,category,campaign,orders,revenue_ngn,cost_ngn,gross_profit_ngn,marketing_spend_ngn,returns,support_tickets,new_customers,repeat_customers,churned_customers,fulfillment_delay_hours,stockout_risk_pct,customer_satisfaction,data_quality_flags
2025-01,2025 Q1,Abuja,Partner,Home & Living,Always On,257,13364000,9287980,4076020,828568,11,17,87,96,7,18.5,0.0766,4.27,28
2025-01,2025 Q1,Abuja,Partner,Beauty,Always On,198,5643000,3453516,2189484,349866,5,13,66,75,4,18.2,0.0537,4.39,28
2025-01,2025 Q1,Abuja,Partner,Fashion,Always On,294,9996000,6677328,3318672,619752,28,19,102,107,12,18.6,0.0906,4.03,28
2025-01,2025 Q1,Abuja,Partner,Grocery,Always On,359,6641500,5432747,1208753,411773,7,24,120,136,8,18.4,0.0651,4.39,28
2025-01,2025 Q1,Abuja,Partner,Business Supplies,SME Restock,235,15040000,10919040,4120960,1112960,8,15,79,88,6,18.5,0.0810,4.30,28
2025-01,2025 Q1,Port Harcourt,Store,Electronics,Always On,429,36894000,28223910,8670090,2287428,30,31,135,173,14,20.9,0.1404,4.02,33
2025-01,2025 Q1,Port Harcourt,Store,Home & Living,Always On,343,17836000,12396020,5439980,1105832,15,20,107,139,9,20.4,0.0905,4.25,33
2025-01,2025 Q1,Port Harcourt,Store,Beauty,Always On,264,7524000,4604688,2919312,466488,7,15,82,108,6,20.1,0.0634,4.38,33
2025-01,2025 Q1,Port Harcourt,Store,Fashion,Always On,393,13362000,8925816,4436184,828444,37,23,126,156,15,20.5,0.1071,4.01,33
2025-01,2025 Q1,Port Harcourt,Store,Grocery,Always On,479,8861500,7248707,1612793,549413,10,28,147,198,10,20.2,0.0770,4.38,33
2025-01,2025 Q1,Port Harcourt,Store,Business Supplies,SME Restock,313,20032000,14543232,5488768,1482368,10,18,97,128,7,20.4,0.0957,4.28,33
2025-01,2025 Q1,Port Harcourt,Web,Electronics,Always On,384,33024000,25263360,7760640,2047488,27,33,144,127,14,20.9,0.1404,4.00,33
2025-01,2025 Q1,Port Harcourt,Web,Home & Living,Always On,307,15964000,11094980,4869020,989768,13,22,114,103,9,20.4,0.0905,4.23,33
2025-01,2025 Q1,Port Harcourt,Web,Beauty,Always On,236,6726000,4116312,2609688,417012,6,17,86,80,6,20.1,0.0634,4.36,33
2025-01,2025 Q1,Port Harcourt,Web,Fashion,Always On,352,11968000,7994624,3973376,742016,33,26,133,115,15,20.5,0.1071,3.99,33
2025-01,2025 Q1,Port Harcourt,Web,Grocery,Always On,429,7936500,6492057,1444443,492063,9,31,157,146,10,20.2,0.0770,4.36,33
2025-01,2025 Q1,Port Harcourt,Web,Business Supplies,SME Restock,280,17920000,13009920,4910080,1326080,9,20,103,95,7,20.4,0.0957,4.26,33
2025-01,2025 Q1,Port Harcourt,Marketplace,Electronics,Always On,308,26488000,20475224,6012776,1642256,24,29,127,87,12,20.9,0.1404,3.96,40
2025-01,2025 Q1,Port Harcourt,Marketplace,Home & Living,Always On,247,12844000,9029332,3814668,796328,12,20,101,71,8,20.4,0.0905,4.20,40
2025-01,2025 Q1,Port Harcourt,Marketplace,Beauty,Always On,190,5415000,3357300,2057700,335730,5,15,77,55,5,20.1,0.0634,4.34,40
2025-01,2025 Q1,Port Harcourt,Marketplace,Fashion,Always On,283,9622000,6504472,3117528,596564,29,23,118,79,13,20.5,0.1071,3.94,40
2025-01,2025 Q1,Port Harcourt,Marketplace,Grocery,Always On,344,6364000,5256664,1107336,394568,8,28,139,101,9,20.2,0.0770,4.34,40
2025-01,2025 Q1,Port Harcourt,Marketplace,Business Supplies,SME Restock,225,14400000,10569600,3830400,1065600,8,18,92,65,6,20.4,0.0957,4.24,40
2025-01,2025 Q1,Port Harcourt,Partner,Electronics,Always On,256,22016000,16842240,5173760,1364992,18,20,87,95,9,20.9,0.1404,4.01,33
2025-01,2025 Q1,Port Harcourt,Partner,Home & Living,Always On,204,10608000,7372560,3235440,657696,9,13,69,76,5,20.4,0.0905,4.24,33
2025-01,2025 Q1,Port Harcourt,Partner,Beauty,Always On,157,4474500,2738394,1736106,277419,4,10,53,59,3,20.1,0.0634,4.37,33
2025-01,2025 Q1,Port Harcourt,Partner,Fashion,Always On,234,7956000,5314608,2641392,493272,22,15,81,85,9,20.5,0.1071,4.00,33
2025-01,2025 Q1,Port Harcourt,Partner,Grocery,Always On,286,5291000,4328038,962962,328042,6,19,95,109,6,20.2,0.0770,4.37,33
2025-01,2025 Q1,Port Harcourt,Partner,Business Supplies,SME Restock,187,11968000,8688768,3279232,885632,6,12,63,70,4,20.4,0.0957,4.27,33
2025-01,2025 Q1,Ibadan,Store,Electronics,Always On,359,30874000,23618610,7255390,1914188,25,26,113,145,12,19.7,0.1296,4.04,30
2025-01,2025 Q1,Ibadan,Store,Home & Living,Always On,287,14924000,10372180,4551820,925288,12,17,89,117,7,19.2,0.0835,4.27,30
2025-01,2025 Q1,Ibadan,Store,Beauty,Always On,221,6298500,3854682,2443818,390507,6,13,68,91,5,19.0,0.0586,4.39,30
2025-01,2025 Q1,Ibadan,Store,Fashion,Always On,329,11186000,7472248,3713752,693532,31,19,105,131,13,19.4,0.0989,4.02,30
2025-01,2025 Q1,Ibadan,Store,Grocery,Always On,401,7418500,6068333,1350167,459947,8,24,123,165,8,19.1,0.0710,4.39,30
2025-01,2025 Q1,Ibadan,Store,Business Supplies,SME Restock,262,16768000,12173568,4594432,1240832,9,15,81,107,6,19.3,0.0883,4.30,30
2025-01,2025 Q1,Ibadan,Web,Electronics,Always On,321,27606000,21118590,6487410,1711572,22,28,120,106,11,19.7,0.1296,4.02,30
2025-01,2025 Q1,Ibadan,Web,Home & Living,Always On,257,13364000,9287980,4076020,828568,11,19,95,86,7,19.2,0.0835,4.25,30
2025-01,2025 Q1,Ibadan,Web,Beauty,Always On,198,5643000,3453516,2189484,349866,5,14,73,67,5,19.0,0.0586,4.37,30
2025-01,2025 Q1,Ibadan,Web,Fashion,Always On,294,9996000,6677328,3318672,619752,28,21,111,96,12,19.4,0.0989,4.01,30
2025-01,2025 Q1,Ibadan,Web,Grocery,Always On,359,6641500,5432747,1208753,411773,7,26,131,123,8,19.1,0.0710,4.37,30
2025-01,2025 Q1,Ibadan,Web,Business Supplies,SME Restock,235,15040000,10919040,4120960,1112960,8,17,87,79,6,19.3,0.0883,4.28,30
2025-01,2025 Q1,Ibadan,Marketplace,Electronics,Always On,258,22188000,17151324,5036676,1375656,20,25,106,73,10,19.7,0.1296,3.98,36
2025-01,2025 Q1,Ibadan,Marketplace,Home & Living,Always On,206,10712000,7530536,3181464,664144,10,17,84,59,7,19.2,0.0835,4.22,36
2025-01,2025 Q1,Ibadan,Marketplace,Beauty,Always On,159,4531500,2809530,1721970,280953,4,13,65,46,4,19.0,0.0586,4.35,36
2025-01,2025 Q1,Ibadan,Marketplace,Fashion,Always On,237,8058000,5447208,2610792,499596,25,19,99,66,11,19.4,0.0989,3.95,36
2025-01,2025 Q1,Ibadan,Marketplace,Grocery,Always On,288,5328000,4400928,927072,330336,6,23,116,85,7,19.1,0.0710,4.35,36
2025-01,2025 Q1,Ibadan,Marketplace,Business Supplies,SME Restock,189,12096000,8878464,3217536,895104,7,15,77,55,5,19.3,0.0883,4.25,36
2025-01,2025 Q1,Ibadan,Partner,Electronics,Always On,214,18404000,14079060,4324940,1141048,15,17,73,79,7,19.7,0.1296,4.03,30
2025-01,2025 Q1,Ibadan,Partner,Home & Living,Always On,171,8892000,6179940,2712060,551304,7,11,58,64,4,19.2,0.0835,4.26,30
2025-01,2025 Q1,Ibadan,Partner,Beauty,Always On,132,3762000,2302344,1459656,233244,3,8,44,50,3,19.0,0.0586,4.38,30
2025-01,2025 Q1,Ibadan,Partner,Fashion,Always On,196,6664000,4451552,2212448,413168,18,13,68,71,8,19.4,0.0989,4.02,30
2025-01,2025 Q1,Ibadan,Partner,Grocery,Always On,239,4421500,3616787,804713,274133,5,16,80,90,5,19.1,0.0710,4.38,30
2025-01,2025 Q1,Ibadan,Partner,Business Supplies,SME Restock,156,9984000,7248384,2735616,738816,5,10,53,58,4,19.3,0.0883,4.29,30
2025-01,2025 Q1,Kano,Store,Electronics,Always On,329,28294000,21644910,6649090,1754228,23,24,104,132,11,22.4,0.1593,3.97,37
2025-01,2025 Q1,Kano,Store,Home & Living,Always On,263,13676000,9504820,4171180,847912,11,15,82,107,7,21.9,0.1027,4.23,37
2025-01,2025 Q1,Kano,Store,Beauty,Always On,203,5785500,3540726,2244774,358701,5,12,63,83,4,21.6,0.0720,4.36,37
2025-01,2025 Q1,Kano,Store,Fashion,Always On,302,10268000,6859024,3408976,636616,28,18,96,120,12,22.1,0.1215,3.98,37
2025-01,2025 Q1,Kano,Store,Grocery,Always On,367,6789500,5553811,1235689,420949,8,22,113,151,8,21.7,0.0873,4.35,37
2025-01,2025 Q1,Kano,Store,Business Supplies,SME Restock,240,15360000,11151360,4208640,1136640,8,14,74,98,5,21.9,0.1086,4.25,37
2025-01,2025 Q1,Kano,Web,Electronics,Always On,294,25284000,19342260,5941740,1567608,20,25,110,97,10,22.4,0.1593,3.96,37
2025-01,2025 Q1,Kano,Web,Home & Living,Always On,235,12220000,8492900,3727100,757640,10,17,87,79,7,21.9,0.1027,4.21,37
2025-01,2025 Q1,Kano,Web,Beauty,Always On,181,5158500,3157002,2001498,319827,5,13,67,61,4,21.6,0.0720,4.34,37
2025-01,2025 Q1,Kano,Web,Fashion,Always On,270,9180000,6132240,3047760,569160,25,19,102,88,11,22.1,0.1215,3.96,37
2025-01,2025 Q1,Kano,Web,Grocery,Always On,329,6086500,4978757,1107743,377363,7,24,120,112,8,21.7,0.0873,4.33,37
2025-01,2025 Q1,Kano,Web,Business Supplies,SME Restock,215,13760000,9989760,3770240,1018240,7,15,79,73,6,21.9,0.1086,4.23,37
2025-01,2025 Q1,Kano,Marketplace,Electronics,Always On,237,20382000,15755286,4626714,1263684,18,22,98,67,9,22.4,0.1593,3.91,45
2025-01,2025 Q1,Kano,Marketplace,Home & Living,Always On,189,9828000,6909084,2918916,609336,9,15,77,55,6,21.9,0.1027,4.17,45
2025-01,2025 Q1,Kano,Marketplace,Beauty,Always On,146,4161000,2579820,1581180,257982,4,12,59,43,4,21.6,0.0720,4.32,45
2025-01,2025 Q1,Kano,Marketplace,Fashion,Always On,217,7378000,4987528,2390472,457436,22,18,91,60,10,22.1,0.1215,3.90,45
2025-01,2025 Q1,Kano,Marketplace,Grocery,Always On,264,4884000,4034184,849816,302808,6,21,106,78,7,21.7,0.0873,4.31,45
2025-01,2025 Q1,Kano,Marketplace,Business Supplies,SME Restock,173,11072000,8126848,2945152,819328,6,14,70,50,5,21.9,0.1086,4.21,45
2025-01,2025 Q1,Kano,Partner,Electronics,Always On,196,16856000,12894840,3961160,1045072,13,15,67,72,6,22.4,0.1593,3.97,37
2025-01,2025 Q1,Kano,Partner,Home & Living,Always On,157,8164000,5673980,2490020,506168,7,10,53,59,4,21.9,0.1027,4.22,37
2025-01,2025 Q1,Kano,Partner,Beauty,Always On,121,3448500,2110482,1338018,213807,3,8,41,45,2,21.6,0.0720,4.35,37
2025-01,2025 Q1,Kano,Partner,Fashion,Always On,180,6120000,4088160,2031840,379440,17,12,62,66,7,22.1,0.1215,3.97,37
2025-01,2025 Q1,Kano,Partner,Grocery,Always On,219,4051500,3314127,737373,251193,4,14,73,83,4,21.7,0.0873,4.34,37
2025-01,2025 Q1,Kano,Partner,Business Supplies,SME Restock,143,9152000,6644352,2507648,677248,5,9,48,54,3,21.9,0.1086,4.24,37
2025-02,2025 Q1,Lagos,Store,Electronics,Always On,753,65146548,49576523,15570025,4039086,53,55,234,307,25,18.1,0.1097,4.08,25
2025-02,2025 Q1,Lagos,Store,Home & Living,Always On,602,31491824,21760850,9730974,1952493,27,36,185,248,16,17.6,0.0707,4.30,25
2025-02,2025 Q1,Lagos,Store,Beauty,Style Drop,501,14364171,8733416,5630755,1062949,14,30,152,209,11,17.4,0.0496,4.41,25
2025-02,2025 Q1,Lagos,Store,Fashion,Style Drop,745,25481980,16920035,8561945,1885667,71,44,235,300,29,17.8,0.0837,4.06,25
2025-02,2025 Q1,Lagos,Store,Grocery,Always On,841,15651851,12740607,2911244,970415,18,50,255,351,18,17.5,0.0601,4.41,25
2025-02,2025 Q1,Lagos,Store,Business Supplies,Always On,514,33093376,23893417,9199959,2051789,17,30,157,213,12,17.7,0.0748,4.33,25
2025-02,2025 Q1,Lagos,Web,Electronics,Always On,674,58311784,44375268,13936516,3615331,47,59,249,227,24,18.1,0.1097,4.06,25
2025-02,2025 Q1,Lagos,Web,Home & Living,Always On,539,28196168,19483552,8712616,1748162,24,39,197,184,16,17.6,0.0707,4.28,25
2025-02,2025 Q1,Lagos,Web,Beauty,Style Drop,448,12844608,7809522,5035086,950501,12,33,162,155,11,17.4,0.0496,4.39,25
2025-02,2025 Q1,Lagos,Web,Fashion,Style Drop,667,22814068,15148541,7665527,1688241,64,49,249,221,29,17.8,0.0837,4.04,25
2025-02,2025 Q1,Lagos,Web,Grocery,Always On,752,13995472,11392314,2603158,867719,16,55,272,260,18,17.5,0.0601,4.39,25
2025-02,2025 Q1,Lagos,Web,Business Supplies,Always On,460,29616640,21383214,8233426,1836232,16,34,167,158,13,17.7,0.0748,4.31,25
2025-02,2025 Q1,Lagos,Marketplace,Electronics,Always On,541,46805156,35993165,10811991,2901920,42,52,220,157,22,18.1,0.1097,4.02,30
2025-02,2025 Q1,Lagos,Marketplace,Home & Living,Always On,433,22651096,15833116,6817980,1404368,21,35,175,127,14,17.6,0.0707,4.25,30
2025-02,2025 Q1,Lagos,Marketplace,Beauty,Style Drop,360,10321560,6358081,3963479,763795,11,29,144,107,10,17.4,0.0496,4.37,30
2025-02,2025 Q1,Lagos,Marketplace,Fashion,Style Drop,536,18333344,12320007,6013337,1356667,56,44,221,152,25,17.8,0.0837,3.99,30
2025-02,2025 Q1,Lagos,Marketplace,Grocery,Always On,605,11259655,9255436,2004219,698099,14,50,242,181,16,17.5,0.0601,4.37,30
2025-02,2025 Q1,Lagos,Marketplace,Business Supplies,Always On,370,23822080,17390118,6431962,1476969,14,30,148,110,11,17.7,0.0748,4.28,30
2025-02,2025 Q1,Lagos,Partner,Electronics,Always On,449,38845684,29561566,9284118,2408432,31,36,151,169,15,18.1,0.1097,4.07,25
2025-02,2025 Q1,Lagos,Partner,Home & Living,Always On,359,18780008,12976986,5803022,1164360,16,24,120,136,10,17.6,0.0707,4.29,25
2025-02,2025 Q1,Lagos,Partner,Beauty,Style Drop,299,8572629,5212158,3360471,634375,8,20,99,114,7,17.4,0.0496,4.40,25
2025-02,2025 Q1,Lagos,Partner,Fashion,Style Drop,444,15186576,10083886,5102690,1123807,42,29,152,164,18,17.8,0.0837,4.05,25
2025-02,2025 Q1,Lagos,Partner,Grocery,Always On,501,9324111,7589826,1734285,578095,11,33,165,193,11,17.5,0.0601,4.40,25
2025-02,2025 Q1,Lagos,Partner,Business Supplies,Always On,307,19765888,14270971,5494917,1225485,10,20,102,117,8,17.7,0.0748,4.32,25
2025-02,2025 Q1,Abuja,Store,Electronics,Always On,573,49573668,37923856,11649812,3073567,40,42,178,234,19,18.8,0.1177,4.07,27
2025-02,2025 Q1,Abuja,Store,Home & Living,Always On,458,23958896,16651433,7307463,1485452,20,27,140,189,12,18.4,0.0759,4.28,27
2025-02,2025 Q1,Abuja,Store,Beauty,Style Drop,381,10923651,6685274,4238377,808350,10,22,116,158,8,18.1,0.0532,4.40,27
2025-02,2025 Q1,Abuja,Store,Fashion,Style Drop,567,19393668,12954970,6438698,1435131,54,34,179,228,22,18.5,0.0898,4.04,27
2025-02,2025 Q1,Abuja,Store,Grocery,Always On,639,11892429,9728007,2164422,737331,14,38,193,267,13,18.2,0.0645,4.40,27
2025-02,2025 Q1,Abuja,Store,Business Supplies,Always On,391,25174144,18276429,6897715,1560797,13,23,119,162,9,18.4,0.0802,4.32,27
2025-02,2025 Q1,Abuja,Web,Electronics,Always On,512,44296192,33886587,10409605,2746364,36,45,189,172,19,18.8,0.1177,4.05,27
2025-02,2025 Q1,Abuja,Web,Home & Living,Always On,410,21447920,14906304,6541616,1329771,18,30,150,140,12,18.4,0.0759,4.26,27
2025-02,2025 Q1,Abuja,Web,Beauty,Style Drop,341,9776811,5983408,3793403,723484,9,25,124,117,8,18.1,0.0532,4.38,27
2025-02,2025 Q1,Abuja,Web,Fashion,Style Drop,507,17341428,11584074,5757354,1283266,48,37,189,168,21,18.5,0.0898,4.03,27
2025-02,2025 Q1,Abuja,Web,Grocery,Always On,572,10645492,8708012,1937480,660021,12,42,207,198,14,18.2,0.0645,4.38,27
2025-02,2025 Q1,Abuja,Web,Business Supplies,Always On,350,22534400,16359974,6174426,1397133,12,25,127,120,9,18.4,0.0802,4.30,27
2025-02,2025 Q1,Abuja,Marketplace,Electronics,Always On,412,35644592,27553270,8091322,2209965,32,39,168,119,16,18.8,0.1177,4.00,32
2025-02,2025 Q1,Abuja,Marketplace,Home & Living,Always On,329,17210648,12099086,5111562,1067060,16,27,133,97,11,18.4,0.0759,4.23,32
2025-02,2025 Q1,Abuja,Marketplace,Beauty,Style Drop,274,7855854,4870629,2985225,581333,8,22,110,81,7,18.1,0.0532,4.36,32
2025-02,2025 Q1,Abuja,Marketplace,Fashion,Style Drop,408,13955232,9433737,4521495,1032687,43,33,168,116,19,18.5,0.0898,3.97,32
2025-02,2025 Q1,Abuja,Marketplace,Grocery,Always On,460,8561060,7071436,1489624,530786,11,38,184,138,12,18.2,0.0645,4.36,32
2025-02,2025 Q1,Abuja,Marketplace,Business Supplies,Always On,281,18091904,13279458,4812446,1121698,10,23,113,83,8,18.4,0.0802,4.27,32
2025-02,2025 Q1,Abuja,Partner,Electronics,Always On,341,29501956,22568996,6932960,1829121,24,27,115,128,12,18.8,0.1177,4.06,27
2025-02,2025 Q1,Abuja,Partner,Home & Living,Always On,273,14281176,9925417,4355759,885433,12,18,91,104,7,18.4,0.0759,4.27,27
2025-02,2025 Q1,Abuja,Partner,Beauty,Style Drop,227,6508317,3983090,2525227,481615,6,15,75,87,5,18.1,0.0532,4.39,27
2025-02,2025 Q1,Abuja,Partner,Fashion,Style Drop,338,11560952,7722716,3838236,855510,32,22,116,125,14,18.5,0.0898,4.03,27
2025-02,2025 Q1,Abuja,Partner,Grocery,Always On,381,7090791,5800267,1290524,439629,8,25,125,147,8,18.2,0.0645,4.39,27
2025-02,2025 Q1,Abuja,Partner,Business Supplies,Always On,233,15001472,10891069,4110403,930091,8,15,77,89,6,18.4,0.0802,4.31,27
2025-02,2025 Q1,Port Harcourt,Store,Electronics,Always On,456,39451296,30180241,9271055,2445980,32,33,142,186,15,20.8,0.1391,4.02,32
2025-02,2025 Q1,Port Harcourt,Store,Home & Living,Always On,365,19093880,13270247,5823633,1183821,16,21,112,150,10,20.2,0.0897,4.25,32
2025-02,2025 Q1,Port Harcourt,Store,Beauty,Style Drop,303,8687313,5316636,3370677,642861,8,18,92,126,6,20.0,0.0629,4.38,32
2025-02,2025 Q1,Port Harcourt,Store,Fashion,Style Drop,451,15426004,10304571,5121433,1141524,43,27,142,182,18,20.4,0.1062,4.01,32
2025-02,2025 Q1,Port Harcourt,Store,Grocery,Always On,509,9472999,7748913,1724086,587326,11,30,154,213,11,20.1,0.0763,4.38,32
2025-02,2025 Q1,Port Harcourt,Store,Business Supplies,Always On,311,20023424,14537006,5486418,1241452,10,18,95,129,7,20.3,0.0948,4.28,32
2025-02,2025 Q1,Port Harcourt,Web,Electronics,Always On,408,35298528,27003374,8295154,2188509,28,35,151,137,15,20.8,0.1391,4.00,32
2025-02,2025 Q1,Port Harcourt,Web,Home & Living,Always On,326,17053712,11852330,5201382,1057330,14,24,119,111,9,20.2,0.0897,4.23,32
2025-02,2025 Q1,Port Harcourt,Web,Beauty,Style Drop,271,7769841,4755143,3014698,574968,7,20,98,93,7,20.0,0.0629,4.36,32
2025-02,2025 Q1,Port Harcourt,Web,Fashion,Style Drop,404,13818416,9230702,4587714,1022563,38,29,151,134,17,20.4,0.1062,3.99,32
2025-02,2025 Q1,Port Harcourt,Web,Grocery,Always On,455,8468005,6926828,1541177,525016,10,33,165,157,11,20.1,0.0763,4.36,32
2025-02,2025 Q1,Port Harcourt,Web,Business Supplies,Always On,278,17898752,12994494,4904258,1109723,9,20,101,95,7,20.3,0.0948,4.26,32
2025-02,2025 Q1,Port Harcourt,Marketplace,Electronics,Always On,328,28377248,21935613,6441635,1759389,25,31,134,95,13,20.8,0.1391,3.96,38
2025-02,2025 Q1,Port Harcourt,Marketplace,Home & Living,Always On,262,13705744,9635138,4070606,849756,12,21,106,77,8,20.2,0.0897,4.20,38
2025-02,2025 Q1,Port Harcourt,Marketplace,Beauty,Style Drop,218,6250278,3875172,2375106,462521,6,18,87,65,6,20.0,0.0629,4.34,38
2025-02,2025 Q1,Port Harcourt,Marketplace,Fashion,Style Drop,324,11082096,7491497,3590599,820075,34,26,133,92,15,20.4,0.1062,3.94,38
2025-02,2025 Q1,Port Harcourt,Marketplace,Grocery,Always On,366,6811626,5626403,1185223,422321,8,30,146,110,9,20.1,0.0763,4.34,38
